name,mz
"FA(22:2(OH2,Ke,cyclo))",379.248496
FA(22:3),333.279401
"FA(22:1(OH2,Ke,cyclo))",381.264146
FA(22:2),335.295051
FA(22:1),337.310701
FA(22:0(Ke)),353.305616
FA(22:0),339.326351
FA(22:0(OH)),355.321266
FA(22:0(OH2)),371.316181
FA(22:0(OH4)),403.30601
"FA(23:5)(OH2,Ke,cyclo2)",385.201546
"FA(23:5)(OH3,cyclo2)",387.217196
FA(23:6),341.248101
"FA(23:3(OH2,cyclo))",377.269231
FA(24:6),425.253976
FA(18:1),456.242029
"FA(23:2(OH3,cyclo))",395.279796
FA(22:0(OH2)),443.264541
FA(23:1),351.326351
FA(23:0(Ke)),367.321266
FA(23:0),353.342001
FA(23:0(OH)),369.336916
FA(24:12),343.16985
FA(24:10),347.20115
FA(24:7),353.248101
FA(24:6),355.263751
FA(24:5),357.279401
FA(24:5(OH)),373.274316
FA(24:4),359.295051
FA(24:3),361.310701
FA(24:2),363.326351
FA(24:1(Ke)),379.321266
FA(24:1),365.342001
FA(24:1(OH)),381.336916
FA(24:1(OH2)),397.331831
FA(24:0),367.357651
FA(24:0(OH)),383.352566
"FA(22:6(OH,Ep))",397.23793
FA(25:4),373.310701
FA(25:2),377.342001
FA(25:1),379.357651
FA(25:0),381.373301
FA(25:0(OH)),397.368216
FA(26:6),383.295051
FA(26:5),385.310701
FA(26:4),387.326351
FA(26:3),389.342001
FA(26:2),391.357651
FA(26:1(Ke)),407.352566
FA(26:0),455.337311
FA(26:1),393.373301
FA(26:0(Ke)),409.368216
FA(26:0),395.388951
FA(26:0(OH)),411.383866
FA(27:4),401.342001
FA(27:3),403.357651
FA(27:2),405.373301
FA(27:1),407.388951
FA(27:0),409.404601
FA(27:0)(OH),425.399516
FA(28:8),407.295051
FA(28:7),409.310701
FA(28:6),411.326351
FA(28:5),413.342001
FA(28:4),415.357651
FA(28:3),417.373301
FA(28:2),419.388951
FA(28:1(Ke)),435.383866
FA(28:1),421.404601
FA(28:0(Ke)),437.399515
FA(28:0),423.420251
FA(28:0(OH)),439.415166
FA(29:3),431.388951
FA(29:2),511.315111
FA(29:2),433.404601
FA(29:1),435.420251
"FA(29:0(OH,cyclo))",467.41008
FA(29:0),437.435901
FA(2:0),59.01335
FA(30:6),439.357651
FA(30:5),441.373301
FA(30:4),443.388951
FA(30:3),445.404601
FA(30:2),447.420251
FA(30:1),449.435901
FA(30:0),451.451551
FA(30:0(OH)),467.446466
FA(30:0),483.44138
FA(31:1),463.45155
FA(31:0),465.467201
FA(31:0),481.462116
FA(32:6),467.388951
FA(32:5),469.404601
FA(32:4),471.420251
FA(32:1),477.467201
FA(32:0),479.482851
FA(32:0(OH)),495.477766
FA(33:0(Ke)),507.477765
FA(33:0),493.498501
FA(33:0(OH)),509.493416
FA(34:6),495.420251
FA(34:5),497.435901
FA(34:4),499.451551
FA(34:1),505.4985
FA(34:0),507.514151
FA(34:0(OH)),523.509066
FA(35:0),521.529801
FA(36:6),523.451551
FA(36:5),525.467201
FA(36:4),527.482851
FA(36:0),535.545451
FA(36:0(OH)),551.540366
FA(37:6),537.467201
FA(37:0),549.561101
FA(37:0(OH)),565.556016
FA(38:6),551.482851
FA(38:5),553.498501
FA(38:4),555.514151
FA(38:0),563.576751
FA(39:0),577.592401
FA(39:0(OH)),593.587316
FA(3:1),71.01335
FA(3:0(Ke)),87.008265
FA(3:0),73.029
FA(40:0),591.608051
FA(40:0(OH)),607.602966
FA(42:0),619.639351
FA(42:0(OH)),635.634266
FA(43:0),633.655001
FA(43:0(OH)),649.649916
FA(45:0),661.686302
FA(45:0(OH)),677.681217
FA(46:0),675.701952
FA(46:0(OH)),691.696867
FA(48:0),703.733252
FA(48:0(OH)),719.728167
"FA(4:1(OH,Ke))",146.99301
FA(4:1),162.93951
FA(4:1),85.029
FA(4:1(OH)),101.023914
"FA(4:0(OH,Ke))",117.018829
FA(4:0),87.04465
FA(4:0),119.016723
FA(4:0(OH)),103.039565
FA(4:0(OH2)),119.03448
FA(5:0),101.0603
FA(5:0(OH)),117.055215
FA(5:0(OH2)),133.05013
FA(5:0(OH3)),149.045045
FA(5:2),97.029
FA(5:1(Ke)),113.023915
FA(5:1),99.04465
FA(5:0(Ke)),115.039565
FA(18:3),147.011638
"FA(5:0(OH,Ke))",131.03448
"FA(5:0(OH2,Ke))",147.029393
FA(20:3),130.050464
FA(60:2(OH)),883.884668
FA(6:1),113.0603
FA(6:0(Ke)),129.055215
"FA(6:0(OH,Ke))",145.05013
FA(6:0),177.039958
FA(6:0),115.07595
FA(6:0(OH)),131.070865
FA(6:0(OH2)),147.06578
FA(6:0(OH3)),163.060695
FA(6:0(OH4)),179.05561
"FA(6:2(OH,Ke))",141.018829
FA(6:2),111.04465
FA(6:2(OH)),127.039564
"FA(6:0(OH2,Ke))",175.024308
"FA(6:0(OH3,KE2))",191.019223
FA(77:2(OH)),1122.150718
"FA(78:0(OH,cyclo2))",1136.166368
FA(7:2),125.0603
FA(7:2),141.055215
"FA(7:1(OH2,Ke))",173.045045
FA(30:0(Me6)),205.034873
FA(7:1),127.07595
FA(7:0(Ke)),143.070865
FA(7:0),129.0916
FA(7:0(OH)),145.086515
FA(7:3),123.04465
FA(7:2),202.97081
"FA(80:0)(OH,cyclo2)",1164.197669
"FA(81:0)(OH,Ke,cyclo)",1194.208233
"FA(82:0)(OH,Ke,cyclo)",1208.223883
